janes.news.rtvslo.335696.752.1.t2	janes.news.rtvslo.335696.752.1.2	#30
janes.news.rtvslo.335696.752.1.t11	janes.news.rtvslo.335696.752.1.11	#39
janes.news.rtvslo.335696.752.5.t2	janes.news.rtvslo.335696.752.5.2	#72
tid.452052987197001728.2.t8	tid.452052987197001728.2.8.r1	#148
janes.news.rtvslo.343684.11.1.t16	janes.news.rtvslo.343684.11.1.16	#204
tid.377782477974011904.2.t2	tid.377782477974011904.2.2	#244
tid.418739930945183745.2.t3	tid.418739930945183745.2.3	#429
tid.430277703271727104.1.t13	tid.430277703271727104.1.13	#514
tid.430277703271727104.1.t21	tid.430277703271727104.1.21	#522
tid.482623023997259778.1.t5	tid.482623023997259778.1.5	#539
tid.330087530940743681.1.t3	tid.330087530940743681.1.3	#618
tid.330087530940743681.1.t10	tid.330087530940743681.1.10	#625
janes.forum.medovernet.4735527.3.t13	janes.forum.medovernet.4735527.3.13	#709
janes.forum.medovernet.4735527.3.t27	janes.forum.medovernet.4735527.3.27	#723
janes.forum.medovernet.5645070.2.t2	janes.forum.medovernet.5645070.2.2	#741
tid.436385128596918272.2.t4	tid.436385128596918272.2.4	#1125
tid.522808149154484224.1.t11	tid.522808149154484224.1.11	#1148
tid.522808149154484224.2.t4	tid.522808149154484224.2.4	#1163
janes.forum.medovernet.1870270.1.t2	janes.forum.medovernet.1870270.1.2	#1209
tid.424974450916728832.1.t10	tid.424974450916728832.1.10	#1326
tid.431064201058992128.4.t5	tid.431064201058992128.4.5	#1473
tid.438791610604998657.2.t2	tid.438791610604998657.2.2	#1563
tid.433659334455590912.1.t4	tid.433659334455590912.1.4	#1716
janes.news.mladina.110321.9.1.t7	janes.news.mladina.110321.9.1.7	#2036
tid.365932409256026113.2.t2	tid.365932409256026113.2.2	#2077
tid.506214753560436736.2.t3	tid.506214753560436736.2.3	#2098
janes.news.rtvslo.345504.178.3.t3	janes.news.rtvslo.345504.178.3.3	#2161
tid.460081175433080832.1.t25	tid.460081175433080832.1.25	#2386
tid.460198745054150657.2.t2	tid.460198745054150657.2.2	#2402
tid.365201545966518272.2.t9	tid.365201545966518272.2.9	#2471
tid.447994458488197121.1.t5	tid.447994458488197121.1.4.r2	#2872
janes.forum.medovernet.9939057.1.t7	janes.forum.medovernet.9939057.1.7	#2902
janes.forum.medovernet.9939057.1.t15	janes.forum.medovernet.9939057.1.15	#2910
tid.506498228083523584.6.t3	tid.506498228083523584.6.3.r1	#2953
tid.506498228083523584.8.t5	tid.506498228083523584.8.5	#2961
