# Mapping from JOS PoS to UD 2.0 PoS
# Kaja Dobrovoljc, Tomaž Erjavec, Simon Krek
# 2018-11-24
#
#Prio	Lemma	Category	Feats				Deps	->PoS-UD	#Comment
#-------------------------------------------------------------------------------------------------------
3	*	Noun		Type=common	*	NOUN
3	*	Noun		Type=proper	*	PROPN

3	*	Verb		*			*		VERB
###This is the only one that still needs synt. dependency for mapping
###Get rid of it in next iteration!
2	*	Verb		Type=auxiliary		PPart/Verb	AUX

3	*	Adjective	*	*	ADJ

3	*		Adverb	*	*	ADV
#New batch by Kaja
1	nekaj		Adverb	*	*	DET
1	več		Adverb	*	*	DET
1	veliko		Adverb	*	*	DET
1	manj		Adverb	*	*	DET
1	dovolj		Adverb	*	*	DET
1	pol		Adverb	*	*	DET
1	malo		Adverb	*	*	DET
1	toliko		Adverb	*	*	DET
1	največ		Adverb	*	*	DET
1	mnogo		Adverb	*	*	DET
1	preveč		Adverb	*	*	DET
1	par		Adverb	*	*	DET
1	koliko		Adverb	*	*	DET
1	dosti		Adverb	*	*	DET
1	nešteto		Adverb	*	*	DET
1	četrt		Adverb	*	*	DET
1	ogromno		Adverb	*	*	DET
1	čimveč		Adverb	*	*	DET
1	čimmanj		Adverb	*	*	DET
1	enako		Adverb	*	*	DET
1	enormno		Adverb	*	*	DET
1	ful		Adverb	*	*	DET
1	majčkeno	Adverb	*	*	DET
1	maksimalno	Adverb	*	*	DET
1	malce		Adverb	*	*	DET
1	minimalno	Adverb	*	*	DET
1	najmanj		Adverb	*	*	DET
1	nekoliko	Adverb	*	*	DET
1	nemalo		Adverb	*	*	DET
1	nič		Adverb	*	*	DET
1	ničkoliko	Adverb	*	*	DET
1	obilo		Adverb	*	*	DET	
1	polno		Adverb	*	*	DET
1	precej		Adverb	*	*	DET
1	premalo		Adverb	*	*	DET
1	večidel		Adverb	*	*	DET
1	vse		Adverb	*	*	DET
1	zadosti		Adverb	*	*	DET
1	premnogo	Adverb	*	*	DET

##No more defaults, as all should be covered directly!
##3	*		Pronoun	*			*	PRON
##2	*		Pronoun	Type=demonstrative	*	DET
##2	*		Pronoun	Type=possessive		*	DET
1	vsakdo		Pronoun	Type=general		*	PRON
1	oboj		Pronoun	Type=general		*	DET
1	ves		Pronoun	Type=general		*	DET
1	vsak		Pronoun	Type=general		*	DET
1	oba		Pronoun	Type=general		*	DET
1	vsakršen	Pronoun	Type=general		*	DET
1	nihče		Pronoun	Type=negative		*	PRON
1	nič		Pronoun	Type=negative		*	PRON
1	nobeden		Pronoun	Type=negative		*	PRON
1	noben		Pronoun	Type=negative		*	DET
1	nikakršen	Pronoun	Type=negative		*	DET
1	kar		Pronoun	Type=relative		*	PRON
1	kdor		Pronoun	Type=relative		*	PRON
1	karkoli		Pronoun	Type=relative		*	PRON
1	kdorkoli	Pronoun	Type=relative		*	PRON
1	kakršen		Pronoun	Type=relative		*	DET
1	čigar		Pronoun	Type=relative		*	DET
1	katerikoli	Pronoun	Type=relative		*	DET
1	kakršenkoli	Pronoun	Type=relative		*	DET
1	se		Pronoun	Type=reflexive		*	PRON
1	zase		Pronoun	Type=reflexive		*	PRON
1	nase		Pronoun	Type=reflexive		*	PRON
1	vase		Pronoun	Type=reflexive		*	PRON
1	svoj		Pronoun	Type=reflexive		*	DET
1	kaj		Pronoun	Type=interrogative	*	PRON
1	kdo		Pronoun	Type=interrogative	*	PRON
1	kakšen		Pronoun	Type=interrogative	*	DET
1	kateri		Pronoun	Type=interrogative	*	DET
1	kolikšen	Pronoun	Type=interrogative	*	DET
1	čigav		Pronoun	Type=interrogative	*	DET
1	kak		Pronoun	Type=interrogative	*	DET
1	kolik		Pronoun	Type=interrogative	*	DET   #Kaja: is this ok?
1	nekaj		Pronoun	Type=indefinite		*	PRON
1	nekdo		Pronoun	Type=indefinite		*	PRON
1	marsikaj	Pronoun	Type=indefinite		*	PRON
1	marsikdo	Pronoun	Type=indefinite		*	PRON
1	malokdo		Pronoun	Type=indefinite		*	PRON
1	mnogokaj	Pronoun	Type=indefinite		*	PRON
1	nekateri	Pronoun	Type=indefinite		*	DET
1	nek		Pronoun	Type=indefinite		*	DET
1	isti		Pronoun	Type=indefinite		*	DET
1	mnog		Pronoun	Type=indefinite		*	DET
1	enak		Pronoun	Type=indefinite		*	DET
1	nekakšen	Pronoun	Type=indefinite		*	DET
1	neki		Pronoun	Type=indefinite		*	DET
1	marsikateri	Pronoun	Type=indefinite		*	DET
1	nekak		Pronoun	Type=indefinite		*	DET
1	premnog		Pronoun	Type=indefinite		*	DET
1	malokateri	Pronoun	Type=indefinite		*	DET
1	prenekateri	Pronoun	Type=indefinite		*	DET
1	marsikakšen	Pronoun	Type=indefinite		*	DET
#New batch by Kaja
1	bogvedikaj	Pronoun	Type=indefinite		*	PRON
1	bogvekaj	Pronoun	Type=indefinite		*	PRON
1	čezme		Pronoun	Type=personal		*	PRON
1	čezse		Pronoun	Type=reflexive		*	PRON
1	jaz		Pronoun	Type=personal		*	PRON
1	jest		Pronoun	Type=personal		*	PRON
1	karsibodi	Pronoun	Type=relative		*	PRON
1	karsižebodi	Pronoun	Type=relative		*	PRON
1	kdorsibodi	Pronoun	Type=relative		*	PRON
1	kdorsižebodi	Pronoun	Type=relative		*	PRON
1	kdovekaj	Pronoun	Type=indefinite		*	PRON
1	kdovekdo	Pronoun	Type=indefinite		*	PRON
1	malokaj		Pronoun	Type=indefinite		*	PRON
1	medme		Pronoun	Type=personal		*	PRON
1	medse		Pronoun	Type=reflexive		*	PRON
1	mnogokdo	Pronoun	Type=indefinite		*	PRON
1	nadme		Pronoun	Type=personal		*	PRON
1	nadse		Pronoun	Type=reflexive		*	PRON
1	name		Pronoun	Type=personal		*	PRON
1	negdo		Pronoun	Type=indefinite		*	PRON
1	nikdo		Pronoun	Type=negative		*	PRON
1	obadva		Pronoun	Type=general		*	PRON
1	obme		Pronoun	Type=personal		*	PRON
